,lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,relative_total_biovolume,genus,wtemp,o2
0,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,14.3,12.9
1,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,12.1,14.1
2,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,11.4,13.3
3,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,10.9,12.4
4,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,10.4,12.0
5,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,9.9,11.6
6,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,9.8,11.3
7,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,9.5,11.1
8,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,9.4,11.1
9,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,9.3,11.0
10,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,9.2,10.8
11,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.9,10.7
12,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.8,10.5
13,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.7,10.3
14,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.6,10.1
15,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.2,9.2
16,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.2,9.3
17,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.2,9.3
18,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.2,9.2
19,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.2,8.3
20,MO,2015,2015-05-01,,0-2m,Cyanophyta,Microcystis aeruginosa,4.0,1.0,52.9327,52.9327,1773.7919,0.00177379,0.078,Microcystis,8.2,8.9
