,lake_mix_layer_temperature,Date
0,-0.00034179687497726263,2020-05-01
1,-0.00034179687497726263,2020-05-02
2,-0.00034179687497726263,2020-05-03
3,-0.00034179687497726263,2020-05-04
4,0.006553778551733558,2020-05-05
5,0.09403339818720724,2020-05-06
6,0.3323658599719579,2020-05-07
7,0.673614958756275,2020-05-08
8,1.3825990820469656,2020-05-09
9,2.0641016312191596,2020-05-10
10,2.66697966632114,2020-05-11
11,2.995578870195743,2020-05-12
12,3.4054290163900305,2020-05-13
13,4.104110376225037,2020-05-14
14,4.49270330501804,2020-05-15
15,5.378177527514197,2020-05-16
16,6.3819986509960245,2020-05-17
17,7.288303312171877,2020-05-18
18,7.776192885859018,2020-05-19
19,8.010979756320637,2020-05-20
20,8.263609313827374,2020-05-21
21,6.797269297996536,2020-05-22
22,5.99575399367842,2020-05-23
23,6.493410442357401,2020-05-24
24,7.587625803425738,2020-05-25
25,8.506575930165923,2020-05-26
26,8.678397523869535,2020-05-27
27,9.188555632850637,2020-05-28
28,10.069962720528338,2020-05-29
29,10.919823280339642,2020-05-30
30,12.528846716178009,2020-05-31
31,12.862784221984441,2020-06-01
32,12.856332706445926,2020-06-02
33,12.988159601971802,2020-06-03
34,12.46393749691083,2020-06-04
35,12.952449676479034,2020-06-05
36,12.746076459791084,2020-06-06
37,12.74541255041811,2020-06-07
38,11.633619930668317,2020-06-08
39,12.279488995683153,2020-06-09
40,13.013901891328771,2020-06-10
41,13.9163151692199,2020-06-11
42,14.908904723030616,2020-06-12
43,15.73608671725043,2020-06-13
44,15.940508773735019,2020-06-14
45,15.959446211653244,2020-06-15
46,16.22498800838781,2020-06-16
47,15.77366676731134,2020-06-17
48,14.592730085634287,2020-06-18
49,14.844006690151446,2020-06-19
50,15.706310295058188,2020-06-20
51,16.415867281155272,2020-06-21
52,16.88998836390823,2020-06-22
53,17.867433125952346,2020-06-23
54,18.378161931331135,2020-06-24
55,17.93708612759633,2020-06-25
56,18.23828929320223,2020-06-26
57,17.74618817948732,2020-06-27
58,16.888432083808823,2020-06-28
59,15.996757814063983,2020-06-29
60,16.21599489664152,2020-06-30
61,15.505558368423863,2020-07-01
62,15.250215914515138,2020-07-02
63,15.501675854827056,2020-07-03
64,16.299224324254624,2020-07-04
65,16.4034378393427,2020-07-05
66,16.61731218833046,2020-07-06
67,17.328038972461286,2020-07-07
68,16.76173236990053,2020-07-08
69,16.142741146411936,2020-07-09
70,16.734280284835222,2020-07-10
71,17.329417007153097,2020-07-11
72,17.83155323090159,2020-07-12
73,16.600589849497794,2020-07-13
74,15.418483000776178,2020-07-14
75,15.422054746619892,2020-07-15
76,16.146750049696493,2020-07-16
77,16.830023332593385,2020-07-17
78,16.438367524359876,2020-07-18
79,16.491831221304153,2020-07-19
80,16.883263228466205,2020-07-20
81,17.327648321312893,2020-07-21
82,18.025489515601464,2020-07-22
83,18.56514732694029,2020-07-23
84,18.095306317489246,2020-07-24
85,17.406459714653693,2020-07-25
86,16.929704136743112,2020-07-26
87,17.682239254498484,2020-07-27
88,18.784746029820667,2020-07-28
89,19.73214695085295,2020-07-29
90,20.34298135231205,2020-07-30
91,20.547502513717518,2020-07-31
92,20.184194314969773,2020-08-01
93,20.540895088890466,2020-08-02
94,21.06628105727384,2020-08-03
95,20.147975790667488,2020-08-04
96,20.117912726907605,2020-08-05
97,20.398337997476688,2020-08-06
98,19.500578437793763,2020-08-07
99,17.054962533139474,2020-08-08
100,15.741650153334149,2020-08-09
101,15.138756414522788,2020-08-10
102,15.478281799067702,2020-08-11
103,15.30427297999546,2020-08-12
104,14.954169916889555,2020-08-13
105,15.13036185945083,2020-08-14
106,15.251894470204661,2020-08-15
107,15.991199490361225,2020-08-16
108,16.978240579885778,2020-08-17
109,17.719023536326347,2020-08-18
110,18.231942866172062,2020-08-19
111,18.262976912067586,2020-08-20
112,18.228269652275515,2020-08-21
113,17.99966632135113,2020-08-22
114,17.484364888385016,2020-08-23
115,17.46656043422672,2020-08-24
116,16.754067514336498,2020-08-25
117,16.573798573874626,2020-08-26
118,16.733501863751144,2020-08-27
119,16.21851578917301,2020-08-28
120,15.917207831977692,2020-08-29
121,13.868631525949297,2020-08-30
122,12.51704404077634,2020-08-31
123,12.584908180759726,2020-09-01
124,12.605998957416432,2020-09-02
125,12.518612038784966,2020-09-03
126,13.142024001807215,2020-09-04
127,13.939359360464607,2020-09-05
128,13.843275453508227,2020-09-06
129,12.82196257664856,2020-09-07
130,11.68173844033987,2020-09-08
131,11.860155050594472,2020-09-09
132,12.808285278907988,2020-09-10
133,13.431650497369162,2020-09-11
134,13.266842834864292,2020-09-12
135,12.40376424482315,2020-09-13
136,12.021283982377042,2020-09-14
137,11.425421045376766,2020-09-15
138,10.850689121817254,2020-09-16
139,11.583882201428537,2020-09-17
140,12.101785569893536,2020-09-18
141,12.675057995464499,2020-09-19
142,12.76031170596815,2020-09-20
143,12.455590718895508,2020-09-21
144,12.527639935248658,2020-09-22
145,12.155933011124034,2020-09-23
146,12.144989965950288,2020-09-24
147,11.662433254348343,2020-09-25
148,11.38582780106276,2020-09-26
149,10.234514893509129,2020-09-27
150,9.969736845423824,2020-09-28
151,10.49032125199517,2020-09-29
152,9.571686288140768,2020-09-30
