,lake_mix_layer_temperature,Date
0,-0.00034179687497726263,2022-05-01
1,0.004559809489649069,2022-05-02
2,0.06870466183232793,2022-05-03
3,0.15594724245801217,2022-05-04
4,0.34363438076911734,2022-05-05
5,0.772256954968725,2022-05-06
6,1.6824169769383275,2022-05-07
7,2.4158575072701183,2022-05-08
8,2.798755061696795,2022-05-09
9,3.0209817470697544,2022-05-10
10,3.2568009042502695,2022-05-11
11,4.054413789188118,2022-05-12
12,4.8589253470399285,2022-05-13
13,5.521959169779564,2022-05-14
14,6.098844516387999,2022-05-15
15,6.785787860709263,2022-05-16
16,7.475386671458011,2022-05-17
17,7.56032518608481,2022-05-18
18,7.216499708818901,2022-05-19
19,6.691675876283568,2022-05-20
20,6.481343978365999,2022-05-21
21,7.040574354193836,2022-05-22
22,7.7126135772108455,2022-05-23
23,8.710406036726738,2022-05-24
24,9.837142580793568,2022-05-25
25,11.048633937125999,2022-05-26
26,12.06537302560423,2022-05-27
27,12.478432683951269,2022-05-28
28,12.782414922210876,2022-05-29
29,11.637735760181727,2022-05-30
30,11.860238065689373,2022-05-31
31,12.667730381086642,2022-06-01
32,13.296841439125842,2022-06-02
33,13.517092487427647,2022-06-03
34,13.237666700762247,2022-06-04
35,13.02493519128592,2022-06-05
36,12.384764754526543,2022-06-06
37,12.290087263063128,2022-06-07
38,13.316485275140565,2022-06-08
39,14.006803610732618,2022-06-09
40,14.79950900346978,2022-06-10
41,15.066651246679726,2022-06-11
42,15.718812826566818,2022-06-12
43,15.849346319054291,2022-06-13
44,15.357506165257576,2022-06-14
45,13.88226286724688,2022-06-15
46,13.940592019766711,2022-06-16
47,14.66082330769052,2022-06-17
48,15.123314188248855,2022-06-18
49,15.732919124421812,2022-06-19
50,16.031295643150884,2022-06-20
51,16.355527143555662,2022-06-21
52,17.02796645925241,2022-06-22
53,16.54064860468361,2022-06-23
54,15.077728788770685,2022-06-24
55,14.351756696671657,2022-06-25
56,15.413974540655715,2022-06-26
57,16.221671655539183,2022-06-27
58,16.28754977606593,2022-06-28
59,16.047132486822818,2022-06-29
60,16.2363416129366,2022-06-30
61,17.045267221705046,2022-07-01
62,16.874615091238127,2022-07-02
63,16.010135586646015,2022-07-03
64,15.869174012610586,2022-07-04
65,15.800478273740111,2022-07-05
66,15.62505577504902,2022-07-06
67,15.866577392326235,2022-07-07
68,16.553029933419793,2022-07-08
69,17.505616570632185,2022-07-09
70,17.753324261643343,2022-07-10
71,17.625379931033194,2022-07-11
72,18.379486178497245,2022-07-12
73,18.899718223014304,2022-07-13
74,18.562850928291198,2022-07-14
75,19.36101631815268,2022-07-15
76,20.317968868767252,2022-07-16
77,20.504251376765183,2022-07-17
78,20.16043152507342,2022-07-18
79,20.241164886482863,2022-07-19
80,19.59397450927787,2022-07-20
81,19.431486493070054,2022-07-21
82,19.808525359198086,2022-07-22
83,19.528243678839203,2022-07-23
84,19.831529357646787,2022-07-24
85,19.35517003935223,2022-07-25
86,18.83149962665925,2022-07-26
87,19.267458853544895,2022-07-27
88,20.103755140288627,2022-07-28
89,21.06164475952795,2022-07-29
90,21.361010190382615,2022-07-30
91,21.18250042580371,2022-07-31
92,20.940062662296157,2022-08-01
93,20.350297267108715,2022-08-02
94,19.16809054856435,2022-08-03
95,18.852950921475838,2022-08-04
96,17.02183773607078,2022-08-05
97,16.165254616558002,2022-08-06
98,17.08500311170991,2022-08-07
99,17.93995861972445,2022-08-08
100,17.617037092386056,2022-08-09
101,17.69163248580611,2022-08-10
102,18.608409284936045,2022-08-11
103,19.253070984958924,2022-08-12
104,19.853395284392718,2022-08-13
105,20.14791065057716,2022-08-14
106,20.011699300714213,2022-08-15
107,20.207568687329797,2022-08-16
108,20.134555785957957,2022-08-17
109,20.185020680509353,2022-08-18
110,20.108219975329007,2022-08-19
111,20.026747447220828,2022-08-20
112,20.238434473089228,2022-08-21
113,19.99698727614407,2022-08-22
114,20.072881721392946,2022-08-23
115,19.936318784152263,2022-08-24
116,19.600116867511872,2022-08-25
117,19.504117175545105,2022-08-26
118,19.593871991622905,2022-08-27
119,17.008469547981235,2022-08-28
120,16.426467245738138,2022-08-29
121,17.183927768578087,2022-08-30
122,17.84539822426575,2022-08-31
123,18.07659034072617,2022-09-01
124,17.240650968793204,2022-09-02
125,17.47848335810528,2022-09-03
126,17.9716503433624,2022-09-04
127,18.10972624353809,2022-09-05
128,16.69093666193106,2022-09-06
129,15.937708399901737,2022-09-07
130,15.0881705029268,2022-09-08
131,13.774003637043677,2022-09-09
132,13.26462924114503,2022-09-10
133,13.763597560483447,2022-09-11
134,13.999015844196947,2022-09-12
135,13.698315960964578,2022-09-13
136,14.168391618189958,2022-09-14
137,14.18134999958761,2022-09-15
138,14.277115993187294,2022-09-16
139,14.213288994328536,2022-09-17
140,12.929849801719797,2022-09-18
141,12.366947135743033,2022-09-19
142,11.050062674075207,2022-09-20
143,10.499553611925421,2022-09-21
144,10.258529616012481,2022-09-22
145,10.53001566377776,2022-09-23
146,10.635204223780818,2022-09-24
147,10.578219919464516,2022-09-25
148,11.21451965584339,2022-09-26
149,11.654541446463043,2022-09-27
150,11.945615042733891,2022-09-28
151,12.14770690069355,2022-09-29
152,11.885161959884215,2022-09-30
