,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,sigma_A,x_A,MSE,MSEM,MSEB,MSEP,MSEO
MENDOTA LAKE,0.0689809715462362,0.007897605781647422,0.036961357091819955,0.0026157717590075307,0.0016302580024887374,1.0092415876662078,1.7813974577886498,0.09599720593797137,0.007458367766468441,0.005389590717211251,0.16706769776471098,0.17492346215590052,0.255902446497459,,0.07037718464077337
MENDOTA LAKE,0.09469966649617406,0.0025161557929561443,0.06698388413057149,0.00717691241806773,0.011018134014566541,1.4091854645119035,1.642766497302092,0.002209529098061644,0.005137548535118678,0.005607512774177854,0.1884788362383996,0.2925860393276447,0.2131923530453372,,0.05965811634221689
MENDOTA LAKE,0.029573697040323928,0.07196111186359318,0.056071473830285705,0.007726631337643159,0.011196130138991376,1.0692234798179663,1.309543338153927,0.06521156370808956,0.00151455678973337,0.008028132905986512,0.17633328204375695,0.18365889724556564,0.266765828534972,,0.07857512035073318
MENDOTA LAKE,0.08385861050063592,0.06621521969169873,0.0795175581018247,0.00980904719581709,0.005312223446164992,0.6470388858354037,1.837681946644628,0.07357825624593098,0.002448690865560602,0.0069262735277779534,0.21671289651689898,0.2879801680669625,0.28508614169140306,,0.0770723797923314
MENDOTA LAKE,0.06942787818380099,0.09117814004403607,0.07910977705768964,0.008105383266409968,0.011522818567839807,1.1047764650287641,1.896174972676673,0.08317797327250971,0.004100574548936647,0.009953664459600838,0.2105747071788807,0.28548623784349186,0.2680749220107901,,0.07816296168236006
MENDOTA LAKE,0.028649504141878702,0.023356908290503665,0.013585167892861655,0.006970411777509239,0.0046760384956703845,1.9903042651533702,1.102839999767621,0.037177027908803235,0.0016133848979584362,0.003497108815570765,0.15410266058277458,0.11472218232207612,0.27185558146390937,,0.07573021796233818
MENDOTA LAKE,0.016575903737282155,0.0792835966835283,0.061320323775646,0.0026807942114655337,0.004959233985458497,0.5918319136200711,0.7067939277349857,0.015113086170153459,0.0046838354048300826,0.00530688877601408,0.2073702513165742,0.24025693597750084,0.30351157160800624,,0.07834224636421552
MENDOTA LAKE,0.05335999520126714,0.046815242545343326,0.0768203808597959,0.0011668317505771865,0.0030049678040509342,1.7224456960902057,1.1870321749646722,0.006953270980483747,0.007179748917577578,0.009432230207676922,0.21020525240168378,0.2780610276623214,0.2748868796168675,,0.07766784992586248
MENDOTA LAKE,0.06772154648870138,0.08450546247756924,0.0908581018085909,0.0024479240863807083,0.005584485185648719,0.8995898272186348,1.9552658402882046,0.02956945400314696,0.004740129890180554,0.00835397869633326,0.2217654478266841,0.2776893963511296,0.3097141733997303,,0.0778927737291923
MENDOTA LAKE,0.0878079136339289,0.06871206206616143,0.056670101976179346,0.007916122541725412,0.00535432513997334,1.0999796225132867,1.6298788916933353,0.05214601217043158,0.007268519486932725,0.00938590419694949,0.20127981177564913,0.23914956220662914,0.2872980966147193,,0.07739177650559889
