,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,sigma_A,x_A,MSE,MSEM,MSEB,MSEP,MSEO
MONONA LAKE,0.0689809715462362,0.007897605781647422,0.036961357091819955,0.0026157717590075307,0.0016302580024887374,1.0092415876662078,1.7813974577886498,0.09599720593797137,0.007458367766468441,0.005389590717211251,0.254371200477276,,0.15049906754691075,,0.35824333340764125
MONONA LAKE,0.09469966649617406,0.0025161557929561443,0.06698388413057149,0.00717691241806773,0.011018134014566541,1.4091854645119035,1.642766497302092,0.002209529098061644,0.005137548535118678,0.005607512774177854,0.24653965626292712,,0.11502193170192296,,0.37805738082393125
MONONA LAKE,0.029573697040323928,0.07196111186359318,0.056071473830285705,0.007726631337643159,0.011196130138991376,1.0692234798179663,1.309543338153927,0.06521156370808956,0.00151455678973337,0.008028132905986512,0.25356163047613833,,0.15259545476059233,,0.35452780619168434
MONONA LAKE,0.08385861050063592,0.06621521969169873,0.0795175581018247,0.00980904719581709,0.005312223446164992,0.6470388858354037,1.837681946644628,0.07357825624593098,0.002448690865560602,0.0069262735277779534,0.2574184398806568,,0.15794559186531348,,0.3568912878960001
MONONA LAKE,0.06942787818380099,0.09117814004403607,0.07910977705768964,0.008105383266409968,0.011522818567839807,1.1047764650287641,1.896174972676673,0.08317797327250971,0.004100574548936647,0.009953664459600838,0.25996234569220905,,0.1654405780010655,,0.3544841133833526
MONONA LAKE,0.028649504141878702,0.023356908290503665,0.013585167892861655,0.006970411777509239,0.0046760384956703845,1.9903042651533702,1.102839999767621,0.037177027908803235,0.0016133848979584362,0.003497108815570765,0.20991529422582808,,0.055947418000761195,,0.36388317045089497
MONONA LAKE,0.016575903737282155,0.0792835966835283,0.061320323775646,0.0026807942114655337,0.004959233985458497,0.5918319136200711,0.7067939277349857,0.015113086170153459,0.0046838354048300826,0.00530688877601408,0.25878294261024787,,0.16569251652468878,,0.351873368695807
MONONA LAKE,0.05335999520126714,0.046815242545343326,0.0768203808597959,0.0011668317505771865,0.0030049678040509342,1.7224456960902057,1.1870321749646722,0.006953270980483747,0.007179748917577578,0.009432230207676922,0.26025009510907904,,0.1675379228104736,,0.35296226740768444
MONONA LAKE,0.06772154648870138,0.08450546247756924,0.0908581018085909,0.0024479240863807083,0.005584485185648719,0.8995898272186348,1.9552658402882046,0.02956945400314696,0.004740129890180554,0.00835397869633326,0.2614593478213683,,0.16980265852169968,,0.35311603712103695
MONONA LAKE,0.0878079136339289,0.06871206206616143,0.056670101976179346,0.007916122541725412,0.00535432513997334,1.0999796225132867,1.6298788916933353,0.05214601217043158,0.007268519486932725,0.00938590419694949,0.257362149937451,,0.15713896069381925,,0.35758533918108276
MONONA LAKE,0.08840984659076287,0.04770645493721564,0.07597074877303998,0.008327116931101946,0.007609222660150752,0.9927165276760614,1.2026503969836448,0.026975426547665677,0.005853852565878964,0.002903622655762679,0.25718590581956025,,0.15705713670857074,,0.3573146749305497
MONONA LAKE,0.07987743383484425,0.0581236785983488,0.0590518062828779,0.0021966623433990356,0.004051781924550763,1.885400479636937,1.8296081252882268,0.03488552075581073,0.008332217255924635,0.005341872677559807,0.2603598204410852,,0.16621541011896404,,0.3545042307632063
MONONA LAKE,0.06260209976456771,0.01923262903687528,0.04349437136002662,0.008449073813498447,0.009786251535523243,1.2587739878917412,0.8881552381876857,0.046552621112316145,0.005666690295727015,0.005769003612112144,0.24493562652360185,,0.1274892920145956,,0.3623819610326081
MONONA LAKE,0.0862135508576739,0.03910741167433874,0.04635661123661806,0.0076698210556691,0.009361469697273512,1.8962012588056825,1.934610502191524,0.06915510019419446,0.001236624884710877,0.0077549915698594315,0.2517775920190244,,0.1435569739163625,,0.3599982101216863
MONONA LAKE,0.043232100253564665,0.05283103795987411,0.00040184225071442786,0.00753804026812222,0.01008490774785656,0.8716053882248526,1.2939179693856468,0.024185047973207772,0.006212413409637446,0.004353217646873045,0.2188643717475183,,0.06652895016144607,,0.37119979333359054
MONONA LAKE,0.08069411986088543,0.09608779152120965,0.012790795337253559,0.006180377862649971,0.010559935821185721,0.6949045880861757,1.6870687180942012,0.057929564984833204,0.008135678569995902,0.003201401501211473,0.253686607958025,,0.14308907617214556,,0.3642841397439044
MONONA LAKE,0.0530454783957799,0.07395286111437988,0.04784897036296603,0.005629962869471275,0.007807420555273567,1.3696319729526039,1.2699189032915463,0.05568650284149862,0.00125892570105545,0.0066889119637188596,0.2564396890816377,,0.157529069803787,,0.3553503083594884
MONONA LAKE,0.05573714130484685,0.016078354570641357,0.024362537300051557,0.005205118655387122,0.007307826716305427,1.3070903546018329,0.9838280805915786,0.09176064164248915,0.002003799433745443,0.0020219103357718778,0.2435683970368448,,0.12572584725167701,,0.3614109468220126
MONONA LAKE,0.07226527907655664,0.03358202324258717,0.03210156980379182,0.008594416584818009,0.001400648518525051,0.7814814086094817,0.7628173010575394,0.0736436090141421,0.006683666276392865,0.007827505685270823,0.24288962017809146,,0.12064070796307433,,0.36513853239310856
MONONA LAKE,0.015085987895727432,0.08578341727588051,0.019078584461278348,0.004571736395741853,0.004428681642058049,1.0730002891947592,0.6059204193127183,0.09705504421424026,0.0014102766944499275,0.004534463977449102,0.25019649325722615,,0.14725184193777632,,0.35314114457667595
MONONA LAKE,0.022120767307824602,0.05715818571980944,0.04175838846302054,0.004484589206141817,0.010833269769616832,1.9106007796431328,0.641002268873123,0.07930869258795571,0.0021238073217710054,0.003847109300960185,0.2543111360361562,,0.15599554283381456,,0.3526267292384978
MONONA LAKE,0.019579056404086415,0.0049791008010984655,0.020719681388391177,0.007315366827701201,0.012337692526733267,1.6769733025083005,0.66011714084185,0.06128594596857261,0.006364085676958332,0.0024692833768389364,0.2166734654746072,,0.07244581301056893,,0.3609011179386455
MONONA LAKE,0.07819943576302922,0.06023212796183102,0.06752502966818705,0.006913550426926102,0.0007655766678282532,0.9434851936949256,1.3118303329207994,0.03757079903137549,0.007906239450278274,0.009622118655709971,0.2565566826624537,,0.15677592919116984,,0.3563374361337376
MONONA LAKE,0.018862013523005202,0.01379756232587697,0.057521891234784066,0.005747051538574219,0.0008367277250617648,1.4719725947430073,1.870837913529101,0.023026716671035494,0.003015255978111783,0.001112200728894808,0.25256070376718914,,0.14933708649074146,,0.35578432104363683
MONONA LAKE,0.05423828310106315,0.06841366660018666,0.003992249225372821,0.004196744076893716,0.00019210910100501705,0.9045416239690754,1.3877087275656865,0.06782082739768562,0.009453918260104496,0.005929548774216535,0.23703520969144887,,0.1050875672298172,,0.3689828521530805
MONONA LAKE,0.09632645660824304,0.0902021946142798,0.08059217669369605,0.007593101311072709,0.010265113220833592,1.7034428916469895,1.0253053721456278,0.0981126900841049,0.006751216362537777,0.00375290321274003,0.26123118335630924,,0.16762427299717414,,0.35483809371544434
MONONA LAKE,0.03600180214259568,0.06667337579710408,0.025967916317888497,0.001115535798297559,0.011595264940254646,1.9225506378531665,1.4753490819838322,0.049171650179668826,0.003123560540592825,0.0050861978893051085,0.2585017548754439,,0.16345645024223351,,0.3535470595086543
MONONA LAKE,0.08285207767517658,0.06954448711103564,0.022037898717622163,0.0023815397630832713,0.012225171692904003,1.0509088573203242,1.2830419869159941,0.08501842976473986,0.006410522324170915,0.008846149331499315,0.2581777677658621,,0.15947674454840569,,0.3568787909833185
MONONA LAKE,0.08212387783215067,0.05466703064326467,0.049335906901006844,0.004443348080626071,0.009683958176326595,1.6601809635820148,0.9945544414945002,0.0063420007371005754,0.005755023892771215,0.009501128028754788,0.257819074025064,,0.15923904183289478,,0.35639910621723325
MONONA LAKE,0.05499178421569215,0.07743731861868965,0.037987053421858194,0.001456290731184702,0.009644719346422994,1.113433917287909,0.7337416998033423,0.003387176437937338,0.0017129041217112907,0.005470458132834446,0.2598884328265526,,0.16616844951162282,,0.3536084161414824
MONONA LAKE,0.0019857455614885125,0.021420988532860754,0.035748154039226536,0.00657406973023895,0.008285462395011685,1.1936509987706,1.7245821225975861,0.030738515196927194,0.0036981383022802205,0.0048247238844368375,0.22557384153842686,,0.09792105092022693,,0.35322663215662675
MONONA LAKE,0.07533470975704963,0.01057875070491214,0.023620268293005377,0.008401458342090894,0.004572678032901725,0.9125319119372286,1.5465212459484214,0.03920496107961713,0.005026628626659505,0.002363851348406209,0.2667121565184587,,0.16872740693654792,,0.3646969061003694
MONONA LAKE,0.02291390186614526,0.0010192632798352724,0.04407821037612213,0.00968226409236407,0.01259335339420653,1.357104557595045,0.8672416763661155,0.03156094914886903,0.00517108898882747,0.0028006856475175012,0.21251776927645824,,0.05342881454518594,,0.37160672400773054
MONONA LAKE,0.07353063322239263,0.09303742211963367,0.07614747875182107,0.002275799342604228,0.00028217160062472737,1.2815638334886796,1.0086231854683592,0.060620752669387455,0.005514861101349538,0.0060229031558479106,0.2610954684821744,,0.16906214241742853,,0.3531287945469203
MONONA LAKE,0.07914684390166986,0.05541044124793668,0.04507635179987356,0.005580166135983993,0.011338265718615483,1.7511891694214603,1.274530942454489,0.060154304939088896,0.004220317428435749,0.008294061564930212,0.2559513196975026,,0.1546265638220837,,0.35727607557292157
MONONA LAKE,0.061771545944411435,0.043290554720144536,0.06407433070486582,0.0043311971424742505,0.006219189723495904,1.9747418481226364,1.093621890589394,0.004467172457676256,0.00928606644943381,0.009199598232911397,0.25689043170694403,,0.15889116470436787,,0.35488969870952014
MONONA LAKE,0.0778340215330233,0.07708932461420395,0.033264507438816274,0.0016778462170513072,0.0013733326830579623,0.6139650574084698,1.639478218871116,0.09230760534717103,0.005280966417522912,0.008598316550658486,0.25948159208003163,,0.1640633515023054,,0.3548998326577578
MONONA LAKE,0.06276025597186624,0.0868628441094198,0.02617245604459294,0.004668006365904736,0.0034385859723803126,1.5334999284363018,1.7779356736804837,0.05329983787212323,0.004891723755751072,0.009901229141954359,0.2558896661517515,,0.1551766476698247,,0.35660268463367834
MONONA LAKE,0.010099632203105328,0.07994096725023385,0.0023041002214777007,0.005373741477472612,0.0070496053875480705,1.734248539212017,0.7555219246992242,0.058655848940587466,0.008205916622123369,0.002098716699728776,0.1988405708778725,,0.0382432530744045,,0.35943788868134047
MONONA LAKE,0.002906338600382523,0.005609508663009785,0.04672035466898123,0.006141649471082147,0.0020079646912103113,1.2368173994506937,1.3743307744910127,0.08244511420210265,0.00861326205014364,0.003694296900732995,0.22134039977922718,,0.08832694500058724,,0.3543538545578671
MONONA LAKE,0.03982658927855274,0.06167821738901073,0.059632246119265334,0.006239576177958963,0.0048267982475062605,1.1639981214000934,0.5852324805346669,0.07226356248893996,0.0029370111307949294,0.0019041500197273077,0.25492286192157043,,0.15551801258096393,,0.35432771126217694
MONONA LAKE,0.0071185443578641525,0.00644494025330912,0.025171185761824595,0.009397484030679606,0.007075668749280259,1.9667789496961854,1.3473328913431675,0.001588570180516169,0.00892267426665926,0.0017374046564326258,0.20034307999788253,,0.040010396791774226,,0.36067576320399086
