,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.015008242151048713,0.03521359061958517,0.04719100356693501,0.0056462751196815954,0.010790389765194168,1.1498520451427798,1.4044420170813885,0.01722538643383241,0.04995109027486079,0.0010164332079496755,0.00247354891682105,0.003166843531678147,0.007557454900597477,0.042655005290430925,3.474917760608704,0.07766434572124672,0.06718676482141792,,10.279902171283448
PIGEON LAKE,0.09133001365104532,0.09759519726997479,0.05671088153003238,0.006243738747579134,0.009579559037411794,0.8037781423502206,0.6619431986239566,0.018135710109115792,0.0022314165549977144,0.007013069893555331,0.009648282541688046,0.008848845577923134,0.001282279125777574,0.08751588894315107,3.324386338196392,0.18727497940916538,0.07047037168646618,,9.715413663493543
PIGEON LAKE,0.016797535033270285,0.05030609684538501,0.039059322392527136,0.007853302679104213,0.00891974744660764,0.7378890600526953,1.5138695867376109,0.026225028186556365,0.01411303265741947,0.008168258877936872,0.0011261606319363402,0.007707396056462205,0.006080936880671002,0.16355096283028192,3.3588676219532925,0.08206399314039017,0.07535098393291312,,9.919187888786574
PIGEON LAKE,0.04882570377315658,0.06046375872570186,0.08151828548703945,0.004829879061789642,0.010216200061285274,0.5183459567776332,1.2598447701221795,0.0625476695233427,0.0830992580836788,0.004330036670690617,0.008156737394025195,0.001340832100493584,0.004546472812837211,0.1377010345443152,3.2714943442912454,0.24246844544109047,0.07634692846156972,,9.495667658971076
PIGEON LAKE,0.047116205936394345,0.04550380352409983,0.05021089191648677,0.0011819039539429253,0.012929810980664161,0.6049738820629675,1.037933065844938,0.04340757679712987,0.05844342522745571,0.0051490129463518525,0.009455356396922132,0.004437096200057151,0.009644348985331454,0.11946277628675292,3.2220274485554348,0.24270620111984886,0.07880411121640608,,9.34457203333005
PIGEON LAKE,0.03138088892523811,0.08926108673661642,0.03405472485806513,0.004375385052346529,0.010396989938921571,1.4786374856730264,0.8021746168881956,0.05237594168458832,0.06220286847857439,0.0076796944268723594,0.003719215821952771,0.0012320398426220562,0.0032305774152019506,0.19198406115199984,3.3719445013570724,0.03520362814091696,0.0841786199641351,,9.996451255966164
PIGEON LAKE,0.02435874708469493,0.05325744805152404,0.006694299600154233,0.0013981461831661613,0.0009791531756082085,0.7693595487783873,1.9415590912484983,0.018618548704344186,0.041080603734588675,0.006017628263623249,0.0048755712905916015,0.006262751129751483,0.005950279929255256,0.14388236465277784,3.3198092997602555,0.054313282478113636,0.0793488508277174,,9.825765765974936
PIGEON LAKE,0.009181776240835215,0.09014320328846889,0.05580252996170446,0.005334241671779418,0.005739191913942726,0.669254467468849,0.7895812913839795,0.014790200751601729,0.09094153129301238,0.002923848299561952,0.0026811896929230506,0.009779774538384637,0.0035411237956440144,0.10072613503966077,3.604663301727691,0.01654621267201088,0.10679699594763438,,10.690646696563428
PIGEON LAKE,0.0189030868717626,0.009326861983898246,0.01004659261166383,0.003830223881973957,0.008947877787995346,1.2678138946833015,1.9645502161828932,0.05840579657120114,0.08583666944776208,0.005581444319354468,0.009523506861240242,0.005401513325507123,0.007754901464790071,0.1902409179309732,3.1617559509466613,0.41856780712774944,0.09909702976074795,,8.967603015951486
PIGEON LAKE,0.04086483369155542,0.056442054822408265,0.0004858182844953915,0.006436077817403076,0.01029597444890631,0.8578572432922968,0.5451326353746523,0.053653219920863755,0.055299907700332974,0.003799195998357326,0.006644016714514524,0.0064490388615152106,0.004315181063792597,0.21532809792776542,3.301381479928039,0.04643819502754887,0.08266987053116961,,9.7750363742254
PIGEON LAKE,0.05769675319310197,0.07215994427679817,0.0612513122457919,0.007685175785273559,0.0069750696188188065,1.3694890997538645,1.3725345764528685,0.08470376948827296,0.03732022720404692,0.006390934359443905,0.0076820994074708205,0.009560031814759878,0.006807672106242383,0.22353524957787074,3.2811307358537647,0.07593859158811221,0.07622856219178963,,9.691225053781393
PIGEON LAKE,0.01345651622232829,0.07055466932849884,0.07561965400945712,0.0035353919815832384,0.002544294467169683,1.4354789056569952,1.3520103837663886,0.02295965290970255,0.05181909439502783,0.003115647137588286,0.002589549766215695,0.009274565598508214,0.002019086945540333,0.22777224642860947,3.4584057256203224,0.032687793025940465,0.08585301420260641,,10.256676369632421
PIGEON LAKE,0.08101103792802597,0.03251944805078892,0.03066734664252644,0.004433308098316543,0.0027588742842868147,1.7833548921489668,1.496384753478004,0.0086434185036161,0.07979550790984336,0.0018845488221313732,0.0030082677501322695,0.0023141073387799712,0.0022372637941662833,0.0688260908173363,3.2399543564192244,0.31245041564100623,0.0816610175916502,,9.325751636025018
PIGEON LAKE,0.021233822333747855,0.09218485798908517,0.09773520847119588,0.005071181417852318,0.009277146658570717,1.2036865978624365,0.6160995831613931,0.006399527264691091,0.045702493810417556,0.0036724577234147687,0.002884449729725541,0.0047779098667846045,0.0050304816190423285,0.15181293652621308,3.4641697774883773,0.044687619268793846,0.07972995751525942,,10.268091755681079
PIGEON LAKE,0.0041426091787226255,0.05795058057154792,0.02384787238260564,0.008513418523502972,0.007277643820432449,1.9263586520108498,1.3584909443639959,0.03759118114892551,0.04717966755400695,0.0016868141164880506,0.006126329127141984,0.00937026867550719,0.005392415067672767,0.09819254116421867,3.637591815770825,0.018877621100031834,0.11663266839732013,,10.777265157815123
PIGEON LAKE,0.03584077740359117,0.08151724361675561,0.036856151721349976,0.007220519291744238,0.011185500703623872,0.724391834780954,1.8234621004742175,0.08746284615690832,0.01832033169064834,0.0026252333483614506,0.008771647317990518,0.00733057301737491,0.004599308021272069,0.05295466367396298,3.417388646606099,0.09673682567573642,0.07274173845643019,,10.082687375686131
PIGEON LAKE,0.0465555195479077,0.05217061115436631,0.032890086980377334,0.008966704091535134,0.012445905938703088,0.917164471445745,0.9669136963415563,0.08818733859607092,0.0808121923568419,0.008379694887261056,0.008000487236232905,0.002973937210952952,0.003620620057174231,0.16488282732910792,3.2622502690965542,0.09541704282912498,0.07463538664518489,,9.616698377815352
PIGEON LAKE,0.028197808668734878,0.08889786319954562,0.025832230963091587,0.007123222840421556,0.005912050150148864,1.7620095025624305,1.6892895532771655,0.08030707501368112,0.055705874050746826,0.0036288413304642656,0.009992572129936254,0.0038637152472515606,0.0018001392805681812,0.1846575996416484,3.386874937885661,0.029364410908419254,0.08656907570137595,,10.044691327047186
