,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,x_A,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.057405690340608474,0.030361965409474195,0.05377867501492761,0.002072531538350914,0.010210202305820364,0.8187519359274851,1.7187082661536024,0.06041023629175546,0.05270787717450012,0.005946025880587896,0.008762779920360397,0.3184119420638655,0.04206181114075422,0.06437005104189551,,0.8488039640089469
PIGEON LAKE,0.08254158987297122,0.022034367812365174,0.02403788155850465,0.003019033058060736,0.007283308043218218,0.6652691243414512,1.9192323755781846,0.05339340012282797,0.02845035701375739,0.00365610563668571,0.007215752687271223,0.3148331998684638,0.073310170495333,0.03783673578383599,,0.8333526933262224
PIGEON LAKE,0.04691498557917015,0.029698608008420307,0.07436005295459575,0.009947001614594369,0.008410661103118881,0.7797946141986251,1.6860095474468402,0.08535176639291238,0.06208981858331191,0.002726122013333963,0.0020110861387877474,0.3411239046941854,0.04012254236214155,0.11652715164092285,,0.866722020079492
PIGEON LAKE,0.03892205845229865,0.07489550914548082,0.018814916546214613,0.006618072400051035,0.00566313542545695,1.7439726396844426,1.4765732221833283,0.05759003839993207,0.018817375267383314,0.008417269538093646,0.003520268564743256,0.3465477110175397,0.07519128493932353,0.06351352201273913,,0.9009383261005564
PIGEON LAKE,0.0860596090164238,0.06188516502669859,0.013767793746177329,0.005406137059998282,0.0001331221024937681,0.7376081842880509,1.494038992406354,0.00496290731184703,0.034080063659047366,0.00424311229607262,0.007390128971835526,0.3413267453573616,0.1039762731535814,0.05292327662800376,,0.8670806862904998
PIGEON LAKE,0.08480191455828712,0.08107214969352736,0.058092876349186987,0.00215677109502406,0.0065203003051509615,1.8679120116576002,1.6244425766043518,0.0514257545143653,0.01690679138952788,0.003831988153315172,0.005607759406386445,0.3275702767370828,0.04207389121798953,0.08009774497709699,,0.8605391940161617
PIGEON LAKE,0.09179165000118883,0.06597991570524811,0.06413745773961763,0.00423135765672945,0.006416746156086105,1.9117652807261034,0.9720300551626287,0.0911441753920181,0.0023587333672627775,0.0016337099324908446,0.0044410169594428376,0.33561608056653003,0.04287225187510871,0.1036525051459001,,0.8603234846785812
PIGEON LAKE,0.04661506853808084,0.010745528502737432,0.07110985992745014,0.0038527288501532322,0.0016781497192821012,0.5945136885531543,1.6366381161206247,0.019946525769298826,0.08079006038694075,0.0019062163248708664,0.009524708884374917,0.32844901267312,0.04710038876020927,0.10862739758024263,,0.829619251678908
PIGEON LAKE,0.017409451129824595,0.04257266029055764,0.093399739207298,0.0031843276715029425,0.0030262513019407708,1.9266092778980581,0.5634251008017304,0.0415677200518702,0.0067433511434745255,0.009519781859324405,0.00314990128378183,0.25903469641149596,0.05439434006982261,0.14961269235211477,,0.5730970568125504
PIGEON LAKE,0.0014918056740926833,0.08430611799651455,0.09803603045542887,0.006040633573469841,0.0027111965251513325,1.4009113794915986,1.445677972948245,0.016713908747141654,0.07899881367265488,0.0013294102432138714,0.006125359542228096,0.22782066856269956,0.11225130015043777,0.2176719730103356,,0.3535387325273252
PIGEON LAKE,0.035816519996841,0.05449801155567929,0.06594918227410083,0.009155635544906546,0.011568060795455519,1.2484952158317828,1.7850024655213168,0.016370726015150515,0.058153668277012016,0.005771777322275204,0.0045933657724752715,0.3498002375400273,0.03739234903588653,0.11136003801452071,,0.9006483255696747
PIGEON LAKE,0.04201105061162246,0.099591427176972,0.0502278950593458,0.007399290524718773,0.00705342530743774,0.7660192559021789,1.7085242099451325,0.07121486143482356,0.02312169311832798,0.007989034854991986,0.002899314570220071,0.3537337236648044,0.04015866328388468,0.08948439493498721,,0.9315581127755412
PIGEON LAKE,0.09927938286763646,0.06787434363240259,0.03418015560434427,0.004564514925020829,0.001083083610364603,1.4518764597969727,1.0368957720203233,0.0015350638004692496,0.08118568202518511,0.007380890369634063,0.009278422400735373,0.3252842617995171,0.04839232990295038,0.048830159082538356,,0.8786302964130626
PIGEON LAKE,0.09713536287063024,0.03433889483142426,0.07215377790748712,0.008271990939420899,0.010826387746177111,1.9894231561874474,0.6150191206363791,0.03209793842116201,0.06519031229780899,0.0022554416161595344,0.0019411467171874751,0.33798090830794475,0.04586180678716518,0.12464566467626147,,0.8434352534604076
PIGEON LAKE,0.09274713690987477,0.0325433109967591,0.024803010249668602,0.006832188483902042,0.0010074089240136369,1.177517340445929,0.6638607157126485,0.04329637470039234,0.08142282680892103,0.00896312645596035,0.0084617134010776,0.33005700664333154,0.07508535174907727,0.04803329558344877,,0.8670523725974686
PIGEON LAKE,0.043997838221424015,0.03849950536993561,0.008974132702257581,0.0024530621372581118,0.003976937824052222,0.7225966145084965,0.9249099775056153,0.08963928533148383,0.08856583735636167,0.0068749202805138245,0.009715734639292243,0.3386608025671683,0.09541756895737376,0.05121158140064465,,0.8693532573434865
PIGEON LAKE,0.08686603258176909,0.0654209852838922,0.003183813092448348,0.0027826214096692992,0.0008788620135273626,1.6124914784091575,1.3090891688919724,0.0836631585204454,0.04517299926187196,0.0018108935814142879,0.005387708443828022,0.34873664436587687,0.13966934508495407,0.062330851280053466,,0.8442097367326231
PIGEON LAKE,0.09020931182949561,0.0704852431264829,0.024912670396898318,0.004739063667607014,0.009206096412035113,0.8789978933188887,1.0594265727371126,0.04385479780170436,0.05777602388557546,0.009872449689903445,0.004722601001226853,0.3298710310620133,0.067323809003692,0.044657201719672614,,0.8776320824626753
PIGEON LAKE,0.08382864254378787,0.08637241232793305,0.09268244030704757,0.0049781397020285814,0.009546198698036188,0.8592482592472936,1.7383802184591817,0.0088896689827948,0.013952070607874907,0.00872584897782843,0.006128596692979385,0.3500743341747188,0.054197284357708465,0.1500897238459274,,0.8459359943205205
PIGEON LAKE,0.034968635441102,0.03688310601060883,0.06493063541400516,0.0037054759402053257,0.010349948158789757,1.5361069370555813,0.8220366568353622,0.009672125609606848,0.06836686990765893,0.00657448607280001,0.0012928395547633243,0.3390513882465798,0.0407192423510242,0.10259425371960698,,0.8738406686691084
PIGEON LAKE,0.06500834405239422,0.0586613499581934,0.05256228562012996,0.007132264759338274,0.003201148985554627,1.6251508277327833,1.383508160025959,0.07885032199205946,0.010011113076676369,0.006052027267288,0.0014815785470482191,0.3358980434786085,0.03752242774485948,0.08176265581486604,,0.8884090468761001
PIGEON LAKE,0.01635262387261712,0.023405139551219846,0.011646604232968774,0.0072608135487826336,0.011189359198277491,1.1924813759479196,1.1404826749586263,0.007348763723581515,0.09870401001864117,0.008191035238413644,0.006239149571645595,0.3400165999562879,0.057113941791455104,0.06684802363409176,,0.8960878344433169
PIGEON LAKE,0.014393129466576095,0.0090980085358697,0.027516190021442177,0.009028727344041832,0.007660568666659415,1.99885711613592,1.7615504005601488,0.04709040346687698,0.019352559781117835,0.007906552320758268,0.00427163430870958,0.3341251700560635,0.039359872368397435,0.08668678953661053,,0.8763288482631826
PIGEON LAKE,0.06786802895593233,0.06916297996493698,0.005618186650419493,0.0015616783791375525,0.0017750208639205718,1.8310666649278418,1.3466305069185336,0.09977378099378698,0.03518573539807229,0.009282792643911728,0.003368226529534327,0.339942683657938,0.1258054005015557,0.05620012781664272,,0.8378225226556155
PIGEON LAKE,0.012856552713556048,0.02053457055165448,0.09969849054361807,0.007713358878164935,0.009321295833364754,1.6877913061537857,0.5464579558287664,0.008458851061260389,0.08389020985412282,0.0016745942838207939,0.0020816935521037914,0.36290272974743076,0.05912805273782474,0.16571778409292007,,0.8638623524115475
PIGEON LAKE,0.02914514820911085,0.03333209833413859,0.04784067699511547,0.001686774877886263,0.003796647427255741,0.5058717646642423,0.8281783175474661,0.04075654269962864,0.06620093093772567,0.0033423227418017043,0.005029512722749537,0.3264122119201676,0.038548857592198414,0.06685146827316307,,0.8738363098951414
PIGEON LAKE,0.0702904765575692,0.004421903150013423,0.0863920413204887,0.005809627239393948,0.007385399980436569,1.4968454523722297,0.7606549800668538,0.03720683087642531,0.06128344827350264,0.0023615401902477174,0.004949543795000349,0.32844726399951696,0.054888424429474905,0.1327771342026334,,0.7976762333664426
PIGEON LAKE,0.04735776728358995,0.031750990713394656,0.09467057661287656,0.009355749029688694,0.010513540713906002,0.641100332783674,1.3275514640756882,0.07652399165674115,0.01805232368000806,0.007417847427844248,0.005896612297979958,0.3457065309764366,0.04785755483101301,0.14254875881245035,,0.8467132792858465
PIGEON LAKE,0.03842681431390259,0.005411694665197711,0.036109746624043676,0.003893069937595246,0.0011882504588927641,1.3660512049776496,0.5334710936282135,0.04837791837715623,0.02031227853505051,0.0011079246368490593,0.00619451487302806,0.32035342969430275,0.045631536556670176,0.06240339972120631,,0.8530253528050317
PIGEON LAKE,0.01495146457369146,0.000950330037026624,0.03347782623086307,0.002973739945012882,0.004575275951419389,0.7484831377457148,1.9482971803953277,0.06672930956043958,0.04422399568114043,0.008129198777918156,0.00391976035976532,0.32584577371801066,0.04459267549686503,0.09719885646177741,,0.8357457891953896
PIGEON LAKE,0.09425177762829476,0.09580633243365903,0.0011670282656319128,0.005757460210588049,0.00874903256471429,1.7823614356178217,1.0148871154048256,0.06613627035322588,0.01733934048530257,0.006124210046764589,0.0029613990575561894,0.36166485662107456,0.14429795926584346,0.07303657825188895,,0.8676600323454914
PIGEON LAKE,0.006970499625410118,0.043541124174445736,0.04943505818271365,0.004214681749830007,0.006840653640488513,0.9119125529634529,0.663130658090763,0.05860681307710732,0.08617645988406705,0.006732922461642638,0.005349004228296339,0.20711628571994667,0.05410972928797685,0.12566946054511283,,0.4415696673267503
PIGEON LAKE,0.03216756773880623,0.07157589905298434,0.017436715605153197,0.007636320258089627,0.012887505817962691,0.8357208310663884,1.2950815441834733,0.03359679280054485,0.0958643806189093,0.002597282846177209,0.007738995797196842,0.3493994977657693,0.07506786353579342,0.06828863951366478,,0.9048419902478497
PIGEON LAKE,0.07211883107333952,0.05718181384462434,0.09659652919711656,0.0029068636328928297,0.007459042987441933,1.3765330623960912,1.1771606938503474,0.022155210440133646,0.08973406692483149,0.009078278378175157,0.007313528516327815,0.3342845546457231,0.058733299536540134,0.14421718602710046,,0.7999031783735286
PIGEON LAKE,0.040418657440094874,0.08249227272278023,0.02689867155100476,0.005547340953880975,0.007995199405839084,0.5588059200149791,1.9665522537822266,0.08484289092741464,0.0904467956907255,0.004962165733058643,0.005047722904661172,0.3449477674928363,0.0610987954916141,0.06335419028300877,,0.9103903167038859
PIGEON LAKE,0.08240254570876049,0.0547411088106352,0.03294678124784206,0.008316751246620239,0.0016060415676358132,0.6279015181405012,0.695123412948771,0.07292984655839148,0.03742826012104601,0.001939677161525817,0.0075620934562743375,0.3330039697421491,0.05914798311077682,0.05592266450269969,,0.8839412616129707
PIGEON LAKE,0.01890730562435493,0.07790131522905983,0.072735910009182,0.0017145578302170338,0.00719397215627686,0.7553600275839873,1.9123082191834526,0.05391835568458044,0.009320875634420932,0.0014374604116102266,0.0026928379510412076,0.1925816049121951,0.04700968447332642,0.11701083991787398,,0.4137242903453848
PIGEON LAKE,0.07436556910061556,0.09100187690717317,0.009309077614835369,0.002674381667730453,0.0021228988773906773,1.3046028384002126,1.8790486042558139,0.08434494902754075,0.07376278366075507,0.0015832289958224227,0.006344096073466111,0.3416610877667221,0.11431946371102716,0.054659980727483584,,0.8560038188616557
PIGEON LAKE,0.05255674326687343,0.0628111455186527,0.03840309083458183,0.00971109492894517,0.008151780425966074,0.5792393382192597,1.8956075730943724,0.010742735692824704,0.03872030029546312,0.007765637713701968,0.005185452134599094,0.3379104944763511,0.05100769456706288,0.06630620789644491,,0.8964175809655454
PIGEON LAKE,0.06794942946207855,0.05797098460293464,0.007056963757108868,0.009663704711743885,0.004159383569485918,0.6511043491045434,1.1107143633459786,0.013129304606268134,0.00873792795751064,0.006240906780711946,0.0024756414826429167,0.3523559647444305,0.11855672587948256,0.06421882737390314,,0.8742923409799056
PIGEON LAKE,0.022033556877861772,0.07885253481624407,0.07573143670854887,0.00783017422418045,0.0050022515497237996,1.0694071483903063,1.2832941631628425,0.07066139008953255,0.029423607441892603,0.0029109075250843648,0.00705361813463181,0.3014115537860859,0.04848551770009068,0.14552430326896,,0.7102248403892071
PIGEON LAKE,0.018291606643476913,0.0016851691977493727,0.030570930689533288,0.009850892930451405,0.006950517169789067,0.72993654804098,1.0030679761978567,0.03588868520601836,0.08655455603532014,0.00255767466134494,0.0025742118822088427,0.33000412226773945,0.042030843319542245,0.08750320131122673,,0.8604783221724494
PIGEON LAKE,0.04447115549853872,0.08815312335103376,0.04070293653748739,0.0037556337658856817,0.009140836717524692,1.2304048223704938,1.5788864395999456,0.03124618093761408,0.07792591628432209,0.0034727367708613415,0.006716377578377283,0.3414209233963221,0.04140931296367748,0.06368413693607497,,0.9191693202892138
PIGEON LAKE,0.06669162411595644,0.05082634584799611,0.039714081266168814,0.00862957007222327,0.007909192617458377,1.0441780076038147,1.9843459112572839,0.01011999791493784,0.04262604476017659,0.00959055882897161,0.0013426985615950758,0.332845676377658,0.04813441396435008,0.06324902925922535,,0.8871535859093986
PIGEON LAKE,0.07503654671608681,0.08149950594682644,0.061311323794637364,0.0058940331671909815,0.004822478341543082,0.5267697174277235,0.6272622455142534,0.011840349778877948,0.04638247736642333,0.008278702164979394,0.008117619177038066,0.34187741509411856,0.03760878766932082,0.09705771826650872,,0.8909657393465261
PIGEON LAKE,0.023811150604443332,0.008998792866255899,0.04046017118285859,0.0021344389182134118,0.005943718213238875,0.5358522552592239,1.8158213381511963,0.01922428788275954,0.05684085585954527,0.004997558361326456,0.009337419400313216,0.3219536503349069,0.041857078889092444,0.07343962580942036,,0.850564246306208
PIGEON LAKE,0.03723136977433595,0.08055540546103099,0.04597475008402077,0.0062909453210140106,0.0043513900773121976,1.265607911364464,1.8219238769046222,0.02333269654920765,0.07437753518582613,0.005866209200734632,0.0068919706800350524,0.34875228970921635,0.040592296827150515,0.08191509470677112,,0.9237494775937275
PIGEON LAKE,0.07675487533004818,0.0532446097226038,0.022444287631197282,0.005452063777129112,0.009416726800430472,0.8668047215408415,1.9609148485876413,0.030817889458420875,0.003993024302835532,0.003422185455227404,0.009109436916390991,0.33325082672420964,0.07642193805892646,0.04811395352164235,,0.8752165885920602
PIGEON LAKE,0.03362281606234935,0.013413374609906152,0.07642491363064455,0.005134703274812436,0.008258264727748484,1.5799586956979668,1.9973157472219696,0.07046207687451496,0.09288643512465451,0.003251223830661779,0.008303532059370563,0.3366648618292736,0.04803047517007445,0.12845603676408554,,0.8335080735536606
PIGEON LAKE,0.07078398022305961,0.044732948467569214,0.04697917475554622,0.0018579994852231294,0.008689078834852303,1.1482199881054491,1.372775545887406,0.09087937189840492,0.09390981392585271,0.008361266042073904,0.00639527005495739,0.314776130074158,0.041810554664457086,0.051235640389981726,,0.8512821951680353
PIGEON LAKE,0.07258736698484158,0.09508158912536052,0.08887934182051971,0.0010297209008907392,0.0001849937452493922,0.7178357852595203,0.6336129888467688,0.058290251718821046,0.06746395547564021,0.009943720239514028,0.005941429832951699,0.24151222649905102,0.05863578107563855,0.13291282357480003,,0.5329880748467145
PIGEON LAKE,0.010944260097165988,0.09916833679767455,0.04467214270314139,0.005304907562230475,0.0035374954897526936,0.6001744836209939,0.7846073645413199,0.021219773232550313,0.006151907760886047,0.005462409379007033,0.0012295750957869904,0.19222247552112062,0.06568199037800812,0.12247764244981735,,0.38850779373553646
PIGEON LAKE,0.05978149259059032,0.016047497155781812,0.0666316271024352,0.0010584201486289746,0.006301871989461677,1.6069835878587524,1.271846814971378,0.07303907288112929,0.036469500400780536,0.009011721851094863,0.0036909435383416437,0.3095534785027072,0.052621488336394455,0.07747799632563031,,0.7985609508460969
